Equacao;Ano;sigla
((ES006 + ES015)/(AG010 - AG019))*100;2015;IN046
((ES006 + ES015)/(AG010 - AG019))*100;2017;IN046
((ES006 + ES015)/(AG010 - AG019))*100;2014;IN046
((ES006 + ES015)/(AG010 - AG019))*100;2016;IN046
((ES026)/(GE006))*100;2015;IN047
((ES026)/(GE006))*100;2017;IN047
((ES026)/(GE006))*100;2014;IN047
((ES026)/(GE006))*100;2013;IN047
((ES026)/(GE006))*100;2016;IN047
(((FN026_AA + FN026)/(2))/(((AG002_AA + AG002)/(2000)) + ((ES002_AA + ES002)/(2000))));2014;IN048
(((FN026_AA + FN026)/(2))/(((AG002_AA + AG002)/(2000)) + ((ES002_AA + ES002)/(2000))));2013;IN048
(((FN026_AA + FN026)/(2))/(((AG002_AA + AG002)/(2000)) + ((ES002_AA + ES002)/(2000))));2017;IN048
(((FN026_AA + FN026)/(2))/(((AG002_AA + AG002)/(2000)) + ((ES002_AA + ES002)/(2000))));2015;IN048
(((FN026_AA + FN026)/(2))/(((AG002_AA + AG002)/(2000)) + ((ES002_AA + ES002)/(2000))));2016;IN048
(((AG006 - AG018 - AG024) - (AG010))/(AG006 + AG018 - AG024))*100;2014;IN049
(((AG006 - AG018 - AG024) - (AG010))/(AG006 + AG018 - AG024))*100;2017;IN049
(((AG006 - AG018 - AG024) - (AG010))/(AG006 + AG018 - AG024))*100;2015;IN049
(((AG006 - AG018 - AG024) - (AG010))/(AG006 + AG018 - AG024))*100;2013;IN049
(((AG006 + AG018 - AG024) - (AG010))/(AG006 + AG018 - AG024))*100;2016;IN049
((AG006 + AG018 - AG024 - AG010)/((AG005_AA + AG005)/(2)))/(365);2015;IN050
((AG006 + AG018 - AG024 - AG010)/((AG005_AA + AG005)/(2)))/(365);2017;IN050
((AG006 + AG018 - AG024 - AG010)/((AG005_AA + AG005)/(2)))/(365);2014;IN050
((AG006 + AG018 - AG024 - AG010)/((AG005_AA + AG005)/(2)))/(365);2016;IN050
((AG006 + AG018 - AG024 - AG010)/((AG005_AA + AG005)/(2)))/(365);2013;IN050
(((AG006 + AG018 + AG024 - AG010)*(1000/365))/((AG002_AA + AG002)/(2)));2014;IN051
(((AG006 + AG018 + AG024 - AG010)*(1000/365))/((AG002_AA + AG002)/(2)));2015;IN051
(((AG006 + AG018 + AG024 - AG010)*(1000/360))/((AG002_AA + AG002)/(2)));2016;IN051
(((AG006 + AG018 + AG024 - AG010)*(1000/365))/((AG002_AA + AG002)/(2)));2013;IN051
(((AG006 + AG018 + AG024 - AG010)*(1000/360))/((AG002_AA + AG002)/(2)));2017;IN051
((AG010)/(AG006 + AG018 - AG024))*100;2017;IN052
((AG010)/(AG006 + AG018 - AG024))*100;2014;IN052
((AG010)/(AG006 + AG018 - AG024))*100;2016;IN052
((AG010)/(AG006 + AG018 - AG024))*100;2013;IN052
((AG010)/(AG006 + AG018 - AG024))*100;2015;IN052
(((AG010 - AG019)/(12))/((AG003_AA + AG003)/(2)));2013;IN053
(((AG010 - AG019)/(12))/((AG003_AA + AG003)/(2)));2017;IN053
(((AG010 - AG019)/(12))/((AG003_AA + AG003)/(2)));2016;IN053
(((AG010 - AG019)/(12))/((AG003_AA + AG003)/(2)));2015;IN053
(((AG010 - AG019)/(12))/((AG003_AA + AG003)/(2)));2014;IN053
((FN008*360)/(FN005));2017;IN054
((FN008*360)/(FN005));2015;IN054
((FN008*360)/(FN005));2016;IN054
((FN008*360)/(FN005));2014;IN054
((FN008*360)/(FN005));2013;IN054
((AG025 + AG026)/(GE012))*100;2016;IN055
((AG025 + AG026)/(GE012))*100;2015;IN055
((AG025 + AG026)/(GE012))*100;2014;IN055
((AG025 + AG026)/(GE012))*100;2013;IN055
((AG025 + AG026)/(GE012))*100;2017;IN055
((ES025 + ES026)/(GE012))*100;2016;IN056
((ES025 + ES026)/(GE012))*100;2014;IN056
((ES025 + ES026)/(GE012))*100;2013;IN056
((ES025 + ES026)/(GE012))*100;2015;IN056
((ES025 + ES026)/(GE012))*100;2017;IN056
((AG027)/(AG006 + AG018))*100;2014;IN057
((AG027)/(AG006 + AG018))*100;2013;IN057
((AG027)/(AG006 + AG018))*100;2017;IN057
((AG027)/(AG006 + AG018))*100;2015;IN057
((AG027)/(AG006 + AG018))*100;2016;IN057
((AG028)/(AG006 + AG018));2017;IN058
((AG028)/(AG006 + AG018));2016;IN058
((AG028)/(AG006 + AG018));2015;IN058
((AG028)/(AG006 + AG018));2014;IN058
((AG028)/(AG006 + AG018));2013;IN058
((ES028)/(ES005));2015;IN059
((ES028)/(ES005));2017;IN059
((ES028)/(ES005));2014;IN059
((ES028)/(ES005));2016;IN059
((ES028)/(ES005));2013;IN059
((FN013)/(AG028 + ES028));2013;IN060
((FN013)/(AG028 + ES028));2017;IN060
((FN013)/(AG028 + ES028));2015;IN060
((FN013)/(AG028 + ES028));2016;IN060
((FN013)/(AG028 + ES028));2014;IN060
((BL001)/(BL005));2013;IN061
((BL001)/(BL005));2015;IN061
((BL001)/(BL005));2017;IN061
((BL001)/(BL005));2016;IN061
((BL001)/(BL005));2014;IN061
((BL001 + BL010)/(BL005 + BL003));2015;IN062
((BL001 + BL010)/(BL005 + BL003));2017;IN062
((BL001 + BL010)/(BL005 + BL003));2014;IN062
((BL001 + BL010)/(BL005 + BL003));2016;IN062
((BL001 + BL010)/(BL005 + BL003));2013;IN062
((BL005 + BL003 + BL008)/(BL002));2014;IN063
((BL005 + BL003 + BL008)/(BL002));2015;IN063
((BL005 + BL003 + BL008)/(BL002));2017;IN063
((BL005 + BL003 + BL008)/(BL002));2013;IN063
((BL005 + BL003 + BL008)/(BL002));2016;IN063
((BL009)/(BL007))*100;2016;IN064
((BL009)/(BL007))*100;2014;IN064
((BL009)/(BL007))*100;2013;IN064
((BL009)/(BL007))*100;2015;IN064
((BL009)/(BL007))*100;2017;IN064
((BL004)/(BL007))*100;2013;IN065
((BL004)/(BL007))*100;2017;IN065
((BL004)/(BL007))*100;2015;IN065
((BL004)/(BL007))*100;2014;IN065
((BL004)/(BL007))*100;2016;IN065
((BL004)/(BL006 - BL004))*100;2015;IN066
((BL004)/(BL006 - BL004))*100;2017;IN066
((BL004)/(BL006 - BL004))*100;2014;IN066
((BL004)/(BL006 - BL004))*100;2013;IN066
((BL004)/(BL006 - BL004))*100;2016;IN066
((BL005)/(BL005 - BL003))*100;2016;IN067
((BL005)/(BL005 - BL003))*100;2014;IN067
((BL005)/(BL005 - BL003))*100;2013;IN067
((BL005)/(BL005 - BL003))*100;2015;IN067
((BL005)/(BL005 - BL003))*100;2017;IN067
((BL012)/(BL007))*100;2015;IN068
((BL012)/(BL007))*100;2017;IN068
((BL012)/(BL007))*100;2014;IN068
((BL012)/(BL007))*100;2016;IN068
((BL012)/(BL007))*100;2013;IN068
((BL011)/(BL007))*100;2013;IN069
((BL011)/(BL007))*100;2017;IN069
((BL011)/(BL007))*100;2015;IN069
((BL011)/(BL007))*100;2014;IN069
((BL011)/(BL007))*100;2016;IN069
((QD004)/(QD002));2013;IN071
((QD004)/(QD002));2015;IN071
((QD004)/(QD002));2017;IN071
((QD004)/(QD002));2016;IN071
((QD004)/(QD002));2014;IN071
((QD003)/(QD002));2015;IN072
((QD003)/(QD002));2017;IN072
((QD003)/(QD002));2014;IN072
((QD003)/(QD002));2016;IN072
((QD003)/(QD002));2013;IN072
((QD015)/(QD021));2014;IN073
((QD015)/(QD021));2015;IN073
((QD015)/(QD021));2017;IN073
((QD015)/(QD021));2016;IN073
((QD015)/(QD021));2013;IN073
((QD022)/(QD021));2016;IN074
((QD022)/(QD021));2014;IN074
((QD022)/(QD021));2017;IN074
((QD022)/(QD021));2013;IN074
((QD022)/(QD021));2015;IN074
((QD007)/(QD006))*100;2013;IN075
((QD007)/(QD006))*100;2015;IN075
((QD007)/(QD006))*100;2017;IN075
((QD007)/(QD006))*100;2014;IN075
((QD007)/(QD006))*100;2016;IN075
((QD009)/(QD008))*100;2015;IN076
((QD009)/(QD008))*100;2017;IN076
((QD009)/(QD008))*100;2014;IN076
((QD009)/(QD008))*100;2013;IN076
((QD009)/(QD008))*100;2016;IN076
((QD012)/(QD011));2016;IN077
((QD012)/(QD011));2014;IN077
((QD012)/(QD011));2013;IN077
((QD012)/(QD011));2015;IN077
((QD012)/(QD011));2017;IN077
((QD006)/(QD020))*100;2015;IN079
((QD006)/(QD020))*100;2017;IN079
((QD006)/(QD020))*100;2014;IN079
((QD006)/(QD020))*100;2016;IN079
((QD006)/(QD020))*100;2013;IN079
((QD008)/(QD019))*100;2013;IN080
((QD008)/(QD019))*100;2015;IN080
((QD008)/(QD019))*100;2017;IN080
((QD008)/(QD019))*100;2016;IN080
((QD008)/(QD019))*100;2014;IN080
((QD011)/(ES004));2015;IN082
((QD011)/(ES004));2017;IN082
((QD011)/(ES004));2016;IN082
((QD011)/(ES004));2014;IN082
((QD011)/(ES004));2013;IN082
((QD025)/(QD024));2017;IN083
((QD025)/(QD024));2015;IN083
((QD025)/(QD024));2014;IN083
((QD025)/(QD024));2016;IN083
((QD025)/(QD024));2013;IN083
((QD027)/(QD026))*100;2016;IN084
((QD027)/(QD026))*100;2014;IN084
((QD027)/(QD026))*100;2015;IN084
((QD027)/(QD026))*100;2013;IN084
((QD027)/(QD026))*100;2017;IN084
((QD026)/(QD028))*100;2013;IN085
((QD026)/(QD028))*100;2015;IN085
((QD026)/(QD028))*100;2017;IN085
((QD026)/(QD028))*100;2014;IN085
((QD026)/(QD028))*100;2016;IN085
((FN006)/(FN015 + FN037 + FN022))*100;2016;IN101
((FN006)/(FN015 + FN037 + FN022))*100;2015;IN101
((FN006)/(FN015 + FN037 + FN022))*100;2014;IN101
((FN006)/(FN015 + FN037 + FN022))*100;2013;IN101
((FN006)/(FN015 + FN037 + FN022))*100;2017;IN101
((((AG002_AA + AG002)/(2)) + ((ES002_AA + ES002)/(2)))/(((FN026_AA + FN026)/(2)) + ((FN014*(FN026_AA + FN026)/(2))/(FN010))));2014;IN102
((((AG002_AA + AG002)/(2)) + ((ES002_AA + ES002)/(2)))/(((FN026_AA + FN026)/(2)) + ((FN014*(FN026_AA + FN026)/(2))/(FN010))));2015;IN102
